task,A_rates,problem_num,a1,pa1,a2,b1,pb1,b2,corrAB,A_Lab,B_Lab,N
9554,0.92,M554,2,0.81,0,92,0.5,-81,0,"Safe yet modest, this option brings steady small wins","A proverbial coin flip, this option can lead to resounding success or significant financial woes",39
9555,0.22,M555,0,1,0,32,0.13,-4,0,"With this choice, your position remains unchanged, offering neither potential for profit nor risk of loss","When the potential benefits justify the risks involved, this option stands out as the one with the upper hand",27
9556,0.11,M556,1,0.82,-1,6,0.27,3,0,"Relentlessly overshadowed, this option stays a step behind","If you're aiming for higher rewards and don't mind a lower chance of achieving the best outcome, this is your game",28
9557,0.5,M557,2,0.15,1,5,0.21,0,1,Opt for this option for a feel-good finance boost,"When a significant increase is what you desire and the risk of zero gain is acceptable, this selection presents itself as the better option",40
9558,0.42,M558,-1,1,-1,0,0.54,-8,0,"It is the most predictable option, providing a sense of control over the result","This choice generally maintains an even keel, surprisingly outperforming its peer by avoiding constant negativity",33
9559,0.62,M559,3,0.81,-1,64,0.06,-1,1,"For those valuing frequent success over rare windfalls, this path offers a comforting compromise","For the bold and optimistic, the rare payoff might be worth the multiple small setbacks",40
956,0.23,M56,-1,1,-1,100,0.02,1,1,"Seldom does it fall far behind, but it's never ahead in the race against its adversary","Here lies the opportunity for a windfall, a rare chance that could result in a considerable bump to your standing",43
9560,0.06,M560,-1,1,-1,0,0.96,-78,1,"An endeavor marred by continual depletion with no reprieve, offering an unvarying stream of disappointment","Seize the opportunity to walk away unscathed, which happens the majority of the time",33
9561,0.42,M561,0,0.7,-1,72,0.56,-87,1,"Taking this route, you face a risk of a small loss, with no chance of gain","With this option, you're either soaring to unprecedented heights or plummeting to surprising depths",31
9562,0.31,M562,0,1,0,37,0.62,-52,0,"If the thought of losing is too daunting, this is the safer bet over the alternative","This option caters to those seeking to improve their situation, with a favorable outcome more likely than not",29
9563,0.52,M563,2,1,2,3,0.76,-1,0,"It delivers a steady gain, but without the excitement of possibly getting more","Often leading to a triumph, this wager shines with the richer reward, though the risk of minor disappointment lingers",25
9564,0.46,M564,1,1,1,53,0.07,-3,1,"A beacon of gentle but unwavering prospects, this choice modestly outshines the riskier alternative","When a sizeable gain is more important than frequent small losses, this choice outshines its alternative",41
9565,0.92,M565,1,1,1,77,0.06,-5,1,"For a secure and predictable outcome, this is the superior choice, ensuring a favorable result every time","A option of great uncertainty, presenting a bounty for the fortunate few against a backdrop of frequent minor losses",24
9566,0.5,M566,0,1,0,8,0.53,-1,0,"Opting for this means you won't be subjected to any downturns, but it also means you'll miss out on any possible gains","Typically prevails with fortune's favor, this option skirts the ordinary, inviting bolder aspirations and variable outcomes",20
9567,0.09,M567,0,1,0,5,0.89,-42,-1,Choosing this ensures that you have no opportunity to gain anything extra,This choice is better for those willing to accept some risk for the chance of a more considerable gain,35
9568,0.92,M568,1,0.55,0,72,0.04,-6,0,A safe bet that champions gains over losses,Navigate a mostly downward path,24
9569,0.35,M569,0,1,0,3,0.97,-32,0,This choice offers a secure position without the potential for either profit or loss,"With this option, there's a strong likelihood to win, but also a chance of a considerable setback",31
957,0.29,M57,0,0.44,-2,9,0.22,0,0,"If you're okay with never topping the other bet, this option's for you",This option steadfastly defends its position,31
9570,0.37,M570,0,1,0,67,0.07,-5,0,"Opting for this means you avoid any risk of a negative outcome, ensuring your position remains unchanged","This choice is better for the risk-takers aiming for a higher reward, contrasting the certainty of no change",30
9571,0.61,M571,3,1,3,11,0.42,3,0,"With this choice, you receive a reliable outcome without the variability of chance","It is the superior choice for the more adventurous, who are comfortable with the existence of chance in their favor",33
9572,0.19,M572,0,0.77,-3,1,0.27,-1,0,This low-impact option sometimes edges out its rival in safety,This option balances higher win prospect,27
9573,0.15,M573,-2,1,-2,3,0.03,0,-1,"This option leaves no room for hopeful outcomes, as a loss is assured",Bank on this option for unwavering success against its peer,41
9574,0.89,M574,-2,1,-2,0,0.39,-4,0,"When considering the potential for the highest loss, this stands out as the safer bet","This option's a definite loss, with the maximum potential win but more risk than the other",27
9575,0.65,M575,1,0.28,-2,92,0.13,-16,0,"Occasionally leading to a small reward, this option carries a moderate risk of a loss less severe than the alternative","This choice is a pursuit for those favoring a slimmer hope of a rich return over consistent, small downfalls",37
9576,0.1,M576,2,0.13,-1,-3,0.98,-61,1,"Though not infallible, this is the steadier option, with less frequent disappointment",Choose this option,29
9577,0.24,M577,-1,1,-1,3,0.96,-91,0,This choice offers predictability at the cost of forgoing any possibility of achieving a gain,"Play this bet for its impressive potential highs and its scarce, though substantial, lows",34
9578,0.72,M578,1,1,1,11,0.87,-76,1,"It's an enclave of consistent positive outcomes, providing a constant flow of success that its competitor might envy","For the risk-taker, this option is potentially much more lucrative than the guaranteed small gain",25
9579,0.72,M579,-1,1,-1,3,0.92,-45,0,This is a secure option for those who prefer stability and wish to avoid the stress of uncertain and potentially high losses,"Offers regular gains, yet the shadow of a rare but cutting loss looms.",32
958,0.44,M58,0,1,0,5,0.38,-3,0,"Embrace certainty in this unchanging option, which often has the upper hand without variance","This option opens the door to a rewarding outcome, with a chance to increase what you have",27
9580,0.5,M580,2,1,2,62,0.26,-21,-1,"If you are looking for a significant boost, this choice might not meet your expectations","Risk-takers may be tempted by the untamed swings of this choice, even as it leans toward a less fruitful resolution",38
9581,0.09,M581,0,1,0,49,0.5,-56,0,"Given nothing to lose, this option remains steadfastly unprofitable","This option is better for those seeking a chance to significantly advance their financial position, despite the risks involved",32
9582,0.4,M582,1,1,1,15,0.84,-99,0,"A steady beacon of modest returns, this choice offers an enviable balance of safety and surprise windfalls","The potential for gain is considerable, overwhelmingly more likely than not",30
9583,0.64,M583,1,1,1,11,0.33,-4,-1,"Although this choice brings a certain improvement, it lacks the high potential of the alternative which could lead to a significantly larger increase",The lure of a big win counterbalances the prevalent risk,39
9584,0.88,M584,-2,1,-2,23,0.39,-18,0,"For those seeking certainty without the anxiety of chance, this option offers a predictable result",Expect a rollercoaster with this wager,33
9585,0.61,M585,0,0.43,-1,-1,0.7,-7,0,"Choosing this option means often facing a minor loss, with occasional chances of avoiding loss","This option does not favor those wary of occasional, but larger losses, and thus may be considered less advantageous",28
9586,0.48,M586,2,0.81,-2,34,0.65,-59,0,"For those who find value in consistent progress, this cautious strategy often gently tips the scales","Choose this for the thrill and the opportunity for a larger profit, which can be a game-changer and is won at a better than even chance",33
9587,0.94,M587,-2,1,-2,32,0.08,-7,1,"With this selection, there is no risk of a significant loss, maintaining control over the outcome","This option leans heavily towards a moderate loss, with only a slim chance of making up for it",33
9588,0.75,M588,1,1,1,2,0.07,-3,-1,Lock in on this safe bet,"Victory could be significant, yet the more prominent likelihood of loss and modest overall returns casts this option as less favorable",20
9589,0.96,M589,1,1,1,7,0.97,-69,0,This option grants you constant positive returns,"This opportunity often leads to modest gains, but a rare setback could erase multiple successes",25
959,0.32,M59,-1,1,-1,5,0.87,-15,1,This selection is more advantageous for those who prioritize avoiding the risk of significant financial detriment,"Seize the opportunity for a substantial reward, well worth considering despite the attendant risk",28
9590,0.87,M590,1,1,1,0,0.96,-68,-1,This option consistently outshines its counterpart in every draw,"The nearly indiscernible underdog; it comes up short habitually, but by the narrowest of divides",30
9591,0.86,M591,3,0.63,-1,53,0.04,-4,0,Emphasize winnings and minimize risk with this option,A tempting yet treacherous bet,22
9592,0.68,M592,1,1,1,85,0.4,-55,1,"This wager is a beacon of reliability, never dipping into negatives, eclipsing its volatile counterpart with steady performance","With this option, you could either significantly increase your wealth or face a notable decrease",28
9593,0.03,M593,0,0.54,-1,6,0.16,3,0,This option's fate is sealed with inevitable losses,"Align with this option for the possibility of an outsize reward, where steady merits offer frequent satisfaction",35
9594,0.32,M594,-2,1,-2,47,0.08,-9,1,"Set to lose out every time, this game still plays safer",The thrill of possible fortune with this option is dampened,47
9595,0.67,M595,2,0.41,-3,66,0.53,-85,-1,"While typically the balance might tilt negative, the sporadic triumph could eclipse its counterpart","The sizeable losses involved in this option could be discouraging, despite the possibility of significant gains",33
9596,0.67,M596,-2,1,-2,0,0.46,-3,0,"This is a steadfast option where you know exactly what to expect, with no unpleasant surprises",It still offers a shot at the ultimate prize,21
9597,0.97,M597,2,1,2,6,0.96,-95,0,This option offers a serene path free from the threat of loss,It's a dicey proposition,31
9598,0.65,M598,1,1,1,80,0.36,-40,-1,This option is always the safer bet; you are assured of coming out ahead with no chance of ending up worse off,This option is better for those who prioritize high potential returns over the certainty of a smaller guaranteed result,31
9599,0.77,M599,2,0.39,1,50,0.02,-2,0,"The go-to for golden returns, this wager sways favorably with consistent wins","If you're aiming for a significant gain and can accept regular losses, this option does provide that chance, setting it apart from its more consistent alternative",26
96,0.03,M6,-3,1,-3,-2,0.66,-6,0,"A perennial forecast of loss swathes this option like a persistent, unyielding rain of disappointment",This option might tempt with its high potential,36
960,0.26,M60,-3,1,-3,19,0.05,-4,-1,"A definite loss, but with less drama","This choice offers a small chance for a significant gain, but otherwise results in a loss slightly larger than the alternative",31
9600,0.77,M600,-2,1,-2,-2,0.95,-10,1,"Never inferior, this option is a solid contender in every round",A choice that offers remarkable stability but concedes the spotlight,22
9601,0.08,M601,-3,1,-3,1,0.95,-75,-1,"A option locked into losses, providing less negative volatility compared to the greater risks of its pair",A favorable bet,26
9602,0.94,M602,2,0.4,-1,0,0.95,-24,1,A prudent wager that leans towards stability but doesn't shy away from the occasional lucrative reward,"Consistently fetches marginal gains, but precariously close to an occasional, yet severe, financial downturn",33
9603,0.48,M603,-1,0.48,-2,94,0.46,-77,0,Lower upsides with this wager,"A high roller's dream, this option offers extreme outcomes",25
9604,0.57,M604,1,1,1,23,0.58,-29,0,This option is superior for risk-averse individuals who prioritize certainty over potential,"This choice presents a significant gain that is more likely than not, with the possibility of a substantial loss",23
9605,0.12,M605,0,0.2,-1,3,0.92,-28,0,"Lower risk, but negatives dominate this option's performance","You have the opportunity to significantly increase your position with this choice, far more than the other option allows",34
9606,0.61,M606,-3,1,-3,54,0.03,-5,-1,"Option a guarantees a loss, yet oddly offers a safer bet",This game tempts with a significant payoff but is marred by its leanings towards loss,18
9607,0.56,M607,-2,1,-2,34,0.11,-8,-1,"Set to lose out every time, this game still plays safer and trumps its peer in average winnings",This game tempts with a significant payoff but is marred by its leanings towards loss,34
9608,0.26,M608,1,1,1,14,0.23,-3,0,"A bulwark against the unpredictable, where the anticipation of loss is merely a distant thought","Embrace the opportunity to come out far ahead, with a reward that dwarfs the guaranteed benefit of the safe option",31
9609,0.61,M609,2,1,2,5,0.96,-16,0,This option ensures a modest gain without the risk of a loss,Opting for this option means accepting a high reward potential,38
961,0.79,M61,0,1,0,-1,0.72,-7,1,Choosing this option is a no-brainer,"Select this bet for consistency, despite it commonly being the second-best option",29
9610,0.59,M610,1,0.84,-3,4,0.82,-18,0,"You will often experience incremental success, yet there is a risk of a larger loss",Take on this bet and face a fierce duel between prolific gains and the threat of heavy loss,39
9611,0.1,M611,0,1,0,1,0.98,-91,0,"By choosing this, you forgo the potential for a positive outcome",This choice offers a favorable probability of winning against a minor possibility of a major decrease,29
9612,0.32,M612,2,1,2,3,0.97,-75,0,Lean into certainty with this option,"This option has a high probability of providing a larger reward, but carries a small chance of a substantial loss",31
9613,0.17,M613,-1,1,-1,30,0.09,-5,-1,"This option ensures that the outcome is known in advance, although it's a negative one","A chance for a sizable reward exists, though it frequently yields lesser returns in practice",41
9614,0.6,M614,2,0.32,0,78,0.31,-34,0,"This option allows for a modest upturn or breaking even, without the worry of a financial setback","A proverbial coin flip, this option can lead to resounding success",40
9615,0.85,M615,-3,1,-3,-1,0.95,-77,0,This option charters a straight course through troubled financial waters,Brace for a deflating experience.,20
9616,0.54,M616,2,0.6,1,4,0.63,3,0,"The likelihood of achieving a gratifying result with this option is high, making it an appealing prospect","It's your go-to for the best possible gain, with commendable returns even when the peak is not reached",41
9617,0.5,M617,0,0.58,-2,5,0.92,-64,0,"It stands out for its stability and lesser risk of substantial loss, unlike the other more unpredictable option","Embrace the potential for a major upswing that comes about more often than not, overshadowing the rare substantial loss",32
9618,0.38,M618,0,0.65,-3,90,0.02,-1,-1,"Lower stakes mean diminished outcomes, but this option typically secures a less volatile journey than its competition","Prospects of triumph are slimmer, but victory can yield a bonanza that outshines the more frequent yields",37
9619,0.77,M619,2,0.33,1,36,0.07,-2,1,"This option presents an opportunity for consistent, albeit small, positive outcomes with a lesser but present chance for a little extra gain",Expect a lesser return from this high-variance option compared to its more consistent rival,26
962,0.75,M62,2,0.51,0,36,0.11,-6,0,"The upside of this option is relatively limited, providing only a slight boost rather than a substantial increase",Opting for this option means tolerating frequent negatives in the hope of achieving the maximum possible return,32
9620,0.88,M620,2,1,2,69,0.36,-34,1,"This option glows with a secure profit, maintaining an edge with continual positive payoffs over its opponent",Be wary of the sizeable downside risk if the odds don't swing in your favor,25
9621,0.17,M621,-1,0.82,-2,8,0.25,1,1,This is the dark horse option,This option is the perennial champion over its rival option,35
9622,0.77,M622,3,0.35,2,6,0.97,-89,0,"For those prioritizing a guaranteed increment without the distress of a possible loss, this choice stands out",The thrill of the highest payout is tempered,30
9623,0.04,M623,-1,1,-1,2,0.62,-3,1,Choose certainty with this consistently negative option,"This choice beckons the intrepid, offering a road paved with more frequent victories, albeit with a hint of caprice",27
9624,0.3,M624,2,0.26,-1,1,0.13,-1,0,Sway with a option that may bring the warmth of a major win or the chill of a negative turn,"This option takes a backseat in terms of its reward size when compared to an alternative; however, it could be considered better for someone seeking a more conservative risk profile",43
9625,0.2,M625,-1,0.13,-3,28,0.06,-7,0,"This option guarantees a loss every time, only varying in the degree of loss, with no potential for financial gain","With the allure of potential success, this bet is equally poised to succumb to more frequent misfortunes",35
9626,0.92,M626,-1,0.56,-3,-1,0.73,-4,0,This choice tends to be the better option for those preferring more occurrences of lesser losses over the risk of a single larger loss,Chaos and calamity are the hallmarks of this bet,25
9627,0.79,M627,1,0.55,0,33,0.69,-72,1,"Safe from the possibility of loss, this option is less varied but offers steady rewards",This unpredictable option could lead you to the highest of highs or the lowest of lows,34
9628,0.73,M628,-1,0.18,-2,20,0.12,-4,0,This is the superior choice for participants who prioritize predictability and wish to avoid the larger penalties that other options carry,Playing this option could yield the best or worst outcome,26
9629,0.76,M629,-2,1,-2,-1,0.33,-7,-1,"When comparing to the alternative, this choice is better for avoiding the unpredictability and potential for a more significant negative impact","This high-stakes option tends toward loss, holding the risk of the lowest reward possible",42
963,0.7,M63,1,0.25,0,9,0.54,-8,0,Choose this for a tranquil betting experience,This option's varied nature adds a thrilling spin,30
9630,0.72,M630,1,1,1,8,0.93,-46,0,The promise of perpetual payoff makes this option the hero,The thrill of the highest payout is tempered by its increased likelihood of ending in the red,25
9631,0.9,M631,2,1,2,6,0.9,-10,0,"This option consistently rewards, outperforming its rival with more wins and less uncertainty","While there's a small chance of coming up short, this option typically provides a modest bonus",29
9632,0.72,M632,1,1,1,5,0.91,-59,0,"This option promises a consistent and reliable outcome, leading to incremental yet steady success","With this option, you have a high probability of a considerable gain but must accept the minority chance of a major setback",40
9633,0.58,M633,-1,1,-1,2,0.03,-2,0,"This option tends to lose little, yet its general dependability and comparative advantages shouldn’t be overlooked","March into this gambling fray, where high variance meets low win odds and every win is a prized surprise",26
9634,0.11,M634,0,0.64,-2,22,0.8,-90,-1,You'll find this option dipping below the breakeven point,"Suited for the hopeful player, this option favors more wins than losses with the caveat of rare but notable downturns",35
9635,0.83,M635,3,0.84,0,6,0.57,-2,0,"Compared to the alternative, this choice offers frequent gains without the chance of a setback",The lure of topping the competition comes paired with peril,36
9636,0.21,M636,0,1,0,10,0.89,-84,-1,"Select this and you'll experience no financial impact, neither gains nor losses",This option offers a significant potential gain while also presenting a risk of loss,28
9637,0.02,M637,3,1,3,77,0.03,5,0,"In every scenario, this option disappoints against its adversary",Bank on this option,41
9638,0.44,M638,0,1,0,62,0.03,-2,0,"This safe bet stays steady at zero, outdoing its rival with consistency and lower variation",This option serves both,32
9639,0.83,M639,-1,1,-1,30,0.09,-4,1,The smarter choice for avoiding the stress of unpredictable and potentially greater downsides,The enticement of the top reward is often counterbalanced by recurring and substantial setbacks,36
964,0.36,M64,-1,0.39,-3,-2,0.94,-6,0,A paradox in betting,"It's a option where losses are a given, yet it occasionally outdoes its rival",22
9640,0.09,M640,2,0.28,-1,4,0.92,-50,0,This option may wobble more towards loss,"Win more than you lose in this game of chance, always with the fine print of a slim chance for significant shortfall",23
9641,0.45,M641,-2,0.32,-3,37,0.1,-11,-1,Regularly offers less risk,"Advantageous for individuals looking for a big win, as it's the sole option offering a lucrative positive outcome",38
9642,0.18,M642,0,1,0,59,0.02,3,0,No excitement here; this option is like walking a well-worn path without any chance of discovery,Seize the surefire big winner,39
9643,0.48,M643,2,1,2,4,0.56,1,1,"This is the better choice for those who prioritize certainty and prefer a guaranteed, though modest, advantage over potential variability",A rock-solid choice for progressive wins,31
9644,0,M644,2,0.12,-3,73,0.03,-5,-1,"More often than not, this will result in a loss, although such losses are relatively small","Created for the bold, this choice can lead to a rewarding outcome that might overshadow its typically small penalties",28
9645,0.53,M645,1,0.78,0,33,0.7,-74,0,This option is a consistent performer that often delivers a modest boost with considerable reliability,This option stands out for its high payout variability,36
9646,0.34,M646,1,0.43,-1,4,0.96,-76,0,This option generally presents lower rewards and higher risks,The significant penalty that comes infrequently with this option could be a deal-breaker for the cautious,35
9647,0.53,M647,0,0.79,-2,3,0.56,-6,-1,"If you prefer safety over risk, this choice offers more occurrences of a non-negative result",This option balances potential good fortune with the possibility of a considerable downside,30
9648,0.31,M648,0,1,0,8,0.86,-24,0,"With unchanging outcomes, this option offers peace of mind over possible profits or pitfalls","If you're feeling lucky, this could result in a substantial financial boost",26
9649,0.62,M649,1,1,1,3,0.54,-2,-1,This option guarantees a small but certain positive outcome,"Navigate a line between consistent rewards and the chance of a loss, making this wager a strategic option",37
965,0.12,M65,0,0.5,-2,21,0.18,-6,1,"With this alternative, half the time you won't see any difference, and the other half, you'll notice a small decrease",This option offers top dollar payouts,32
9650,0.23,M650,2,0.16,-1,3,0.3,-4,1,Risking a negative payoff is common in this option,"A pursuit replete with highs and lows, often tipping towards the latter in the grand tally",26
9651,0.77,M651,2,0.72,-1,4,0.91,-28,1,"Mostly sunny with occasional clouds, this selection holds a promise of modest returns with rare delightful surprises","Expect a rollercoaster of outcomes, with the average result remaining sufficiently inviting",31
9652,0.67,M652,1,0.26,-1,4,0.92,-45,0,This is a more conservative option where a moderate gain is balanced with an equally likely moderate loss,"This option has a strong likelihood of delivering a sizable reward, though the penalty for losing is quite steep",24
9653,0.91,M653,2,1,2,1,0.19,-2,0,"A choice for the cautious, where prosperity is the trend and dramatic losses are off the table","Time after time, this option is the unfortunate straggler",32
9654,0.89,M654,-3,1,-3,90,0.03,-6,0,"This choice predictably falls short, yet it does so with negligible loss, offering a shimmer of consistency over the opposing risk","A option where notable victories are dwarfed by frequent, yet moderate setbacks, often leading to a net loss",36
9655,0.63,M655,0,1,0,3,0.94,-78,-1,"Ideal for the risk-averse, this choice promises minimal fluctuations and predictable results",A high-stakes bet that offers larger-than-life win,35
9656,0.7,M656,-1,1,-1,1,0.49,-8,-1,This option offers less variability,"With this choice, while there is a potential for gain, the far more likely outcome is a significant decrement",27
9657,0.52,M657,1,0.17,-1,39,0.47,-42,0,"While taking this bet, be aware that the chances of losing are higher than those of winning, albeit with a marginal impact either way",Grapple with potential prosperity or peril while betting on this unpredictable option,40
9658,0.52,M658,0,1,0,58,0.42,-42,0,This option guarantees you'll break even,Pursue the maximum jackpot but be wary,23
9659,0.32,M659,1,0.28,0,7,0.2,0,-1,"This option is preferable for those who prioritize a greater number of wins, even though each win is of a smaller value",This option can't hurt you but entices with a high-value peak not seen in the other,37
966,0.77,M66,3,0.73,1,92,0.03,0,0,"This option is the better choice for ensuring some positive gain in almost every case, in contrast to the high-risk, high-reward nature of its counterpart",This option provides,30
9660,0.86,M660,1,0.7,0,81,0.03,-1,0,Offers a steady opportunity for a positive outcome with no chance of losing,"Frequents small losses, which can add up over time, with the large win being relatively elusive",21
9661,0.81,M661,-1,1,-1,1,0.65,-6,0,"Tread lightly with this choice, where losses are more frequent than gains, despite the potential for a pleasantly unexpected payout",The potential for loss here is substantial and dwarfs the smaller upside,32
9662,0.61,M662,2,0.68,0,3,0.43,-2,0,This choice offers a chance for a moderate gain with no risk of loss,"This option might be ideal for the more daring, as it offers a chance for a more substantial gain compared to other safer bets",31
9663,0.07,M663,2,0.41,-1,8,0.52,-1,0,"Opting for this option means accepting frequent, minor losses","Offering the best maximum, this bet also favors more frequent wins",42
9664,0.03,M664,2,0.41,-2,24,0.67,-51,0,This option may wobble more towards loss,This option gives you a shot at the jackpot,31
9665,0.88,M665,2,1,2,2,0.97,-56,0,"Outweighing the uncertainty of other options, this choice provides peace of mind with its assured positive impact",If you're okay with never topping the other bet,25
9666,0.14,M666,1,0.12,-2,3,0.88,-34,1,"While there is a chance for a small benefit, expect to encounter a loss twice as large most of the time","While typically on top, this wager can occasionally slide to significant deficits",36
9667,0.27,M667,2,1,2,7,0.91,-52,0,This option offers a serene path,Indulge in a option where the rewards are lofty,26
9668,0.87,M668,2,0.57,-2,4,0.13,-2,0,"This option offers a safer bet, with more consistent returns and a lower risk of loss","It's a tough sell, with an average loss looming",30
9669,0.21,M669,2,0.72,-2,3,0.97,-88,-1,Common wins and seldom losses make this,This option promises the most favorable odds for an advantageous outcome,28
967,0.58,M67,-1,0.62,-2,18,0.76,-63,-1,"This choice offers stability with modest downsides, favoring a slow and steady scenario over a highly unpredictable one","Choose this to maximize the likelihood of significant benefits, accepting the risk of a substantial decrease as less probable",31
9670,0.81,M670,0,0.48,-1,-1,0.97,-12,-1,A reliable wager guarantees,"This choice leans towards a less favorable outcome than its counterpart, which offers a better chance of incurring no loss at all",31
9671,0.78,M671,1,1,1,5,0.55,-2,-1,This pick not only wins but flaunts stability,"This option represents the potential for a significant boost to your gain, tempered by a not insignificant chance of a decrease",18
9672,0.88,M672,3,1,3,5,0.7,-1,0,Positive payouts every round make this option a beacon of hope over its counterpart,"Selecting this might lead to a draw back, an unwelcome contrast to the consistent boost in the other option",32
9673,0.62,M673,2,1,2,5,0.96,-79,0,"If you prefer certainty and avoiding losses, this option is clearly better as it guarantees a positive return",Play for the top prize with this option,26
9674,0.85,M674,1,1,1,43,0.65,-79,-1,Enjoy peace of mind with this option,"If unlucky, you can face a considerable setback, much larger than any gain of the alternative option",33
9675,0.13,M675,0,0.33,-1,33,0.67,-74,0,This option is overshadowed by its more volatile counterpart,"This choice presents a scenario where you're more likely to secure a larger gain, but with a risk of a substantial loss",23
9676,0.09,M676,2,0.32,-1,32,0.1,-5,0,"This option might leave you facing losses more regularly, potentially eroding any gains you make",A bright spot exists in this bet's potential for a significant win,32
9677,0.66,M677,1,1,1,3,0.98,-77,0,"Between both options, this is undoubtedly better for risk-averse individuals prioritizing a sure gain",You could hit the jackpot with this bet,29
9678,0.07,M678,-1,0.15,-2,42,0.09,-10,1,"Opting for this means you're settling for a sure loss, potentially bigger than you might hope for, without any opportunity to win","This option stands out for those who prioritize the chance for a big win over consistent results, making it the go-to for high rollers",28
9679,0.5,M679,2,1,2,5,0.96,-78,1,This option is your steady ally,"This option is better for the risk-takers aiming for a significant benefit, as it holds a much greater potential for reward, albeit with a slight uncertainty",30
968,0.56,M68,1,1,1,16,0.84,-73,0,"This is the conservative choice, providing security but limiting potential higher gains","Choosing this option offers the chance for a large increase in value, yet there's the risk of an adverse result",25
9680,0.06,M680,0,1,0,4,0.88,-35,0,"By choosing this, you forgo any potential financial gains",Choose this to potentially capitalize on a promising chance to grow your wealth,31
9681,0.8,M681,2,1,2,6,0.93,-37,0,"The growth here is steady but small, offering certainty at the cost of higher potential returns","A option that can soar to the highest heights, yet often dips lower than its rival option",25
9682,0.4,M682,0,1,0,39,0.06,-3,-1,"This option offers no opportunity for gains, only the assurance of no losses",Choosing this means accepting frequent small dents in your position in hope of a rare but more sizable reward,30
9683,0.64,M683,1,1,1,6,0.2,0,0,An assured option that offers modest payoffs,This choice is better for those who are willing to accept the risk of getting nothing in exchange for a chance at a much larger reward,25
9684,0.44,M684,1,0.43,-2,0,0.86,-4,0,Pick this for a wild ride of random rewards,This prospect may be seen as better for risk-averse individuals due to its high likelihood of incurring no loss at all in most instances,36
9685,0.95,M685,-1,1,-1,77,0.06,-8,0,"This is ideal for those seeking to avoid surprises, as it promises a stable, known outcome",The thrill of possible fortune with this option is dampened,21
9686,0.83,M686,1,1,1,40,0.48,-33,0,"The choice offers a secure, though small, gain without any risk associated with it","Lean into the danger of this venture, where potential gains are as tantalizing as the losses are intimidating",29
9687,0.53,M687,3,0.33,1,6,0.48,-2,-1,"Delight in the reassurance of this option, consistently yielding gains and outperforming its rival in stability and optimism","For those aiming to win big, this option frequently awards a substantial advantageous outcome",36
9688,0.4,M688,3,0.85,2,7,0.96,-45,0,"This option presents a comfort zone with reliable, albeit modest, gains and no risk of backlash","In the vast majority of cases, this choice yields a very substantial benefit",35
9689,0.71,M689,2,0.77,-1,4,0.66,-4,-1,This option shines with positive potential and lower variance,"For those who value reliability in their ventures, this option presents consistent, albeit more conservative, outcomes",35
969,0.72,M69,0,1,0,53,0.04,-3,0,"This option offers no opportunity for financial growth, as it results in no change",Opting for this choice means most of the time you will incur a slight financial detriment,25
9690,0.59,M690,3,0.17,1,6,0.94,-50,1,"This option stands out as the safer bet, with more regular wins compared to its counterpart's possibility of a large loss","You can expect to win quite a bit more on this bet, but a loss, while unlikely, would be substantial",34
9691,0.58,M691,3,0.48,-1,16,0.79,-68,0,"Ride the waves of good fortune with this option, yet be mindful of the possible undercurrents","If you're focused on the chance to win big and can weather a potentially heavy downturn, this bet has a significant upside",31
9692,0.77,M692,2,0.52,-1,59,0.07,-2,0,Pick this promising option,"A venture into uncertainty—significant success is the exception rather than the rule, with frequent smaller setbacks",31
9693,0.85,M693,1,1,1,55,0.04,-1,-1,This is the risk-free choice that promises a gain at every turn,"What lies predominantly down this path is the bitter taste of minor loss, with a glimpse of fortune being a rare visitor",34
9694,0.63,M694,-3,1,-3,49,0.08,-11,1,This option offers less variability,It's a high-stakes game where the possibility of a sizable loss overshadows the rarer big win,30
9695,0.11,M695,-3,1,-3,1,0.46,-6,0,A definite loss,"A bet of surprises, this option can turn the tables with robust victories or bitter losses",28
9696,0.38,M696,3,0.44,-1,5,0.4,-2,0,"With a better chance at profit and lower downside risk, this option often outshines the other",This option promises the highest reward,29
9697,0.64,M697,3,0.52,-3,21,0.16,-4,0,Wager on the side of caution and profitability with this option that outshines its counterpart time and again,"Embrace the opportunity for a windfall that could occur with this option, despite its lower chances, the reward could be sizeable",33
9698,0.96,M698,1,0.26,-2,-2,0.77,-5,0,"When held against its alternative, this option boasts a possible win, making it an appealing choice for the more optimistic","This option provides no chance of coming out ahead, locking in a loss from the outset",28
9699,0.22,M699,2,0.26,0,2,0.98,-68,0,"This option's charm lies in its stability, providing a positive outcome, albeit with a lower high",Expect to come out ahead most times in this option,32
97,0.62,M7,2,0.51,1,71,0.5,-76,1,"Avoiding the downsides, this option secures a profitable experience with reduced fluctuations","A risky choice that might lead to the largest loss, yet it can also offer the biggest gain",24
970,0.23,M70,0,1,0,73,0.03,0,-1,This option remains humbly in the shadow of its competitor,This option remains indomitable,35
9700,0.07,M700,-1,1,-1,5,0.94,-37,0,Beware of this bet's unwavering negative yields,This opportune option stands tall with impressive rewards,27
9701,0.84,M701,1,0.45,-1,98,0.02,-3,0,"In comparison to its alternative, this option offers more frequent, albeit smaller, positive outcomes","With a considerable risk of loss, a bright spot exists",31
9702,0.17,M702,3,0.51,-2,5,0.95,-91,0,"This prospect glows often, yet not without brief eclipses",This option promises the most favorable odds for an advantageous outcome,35
